Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/components.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/components.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/components.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/components.eda.nokia.com/v1/chassis,GET,com.nokia.eda.components.v1.ChassisList,,false,false,false
/apps/components.eda.nokia.com/v1/components,GET,com.nokia.eda.components.v1.ComponentList,,false,false,false
/apps/components.eda.nokia.com/v1/controlmodules,GET,com.nokia.eda.components.v1.ControlModuleList,,false,false,false
/apps/components.eda.nokia.com/v1/fabricmodules,GET,com.nokia.eda.components.v1.FabricModuleList,,false,false,false
/apps/components.eda.nokia.com/v1/fans,GET,com.nokia.eda.components.v1.FanList,,false,false,false
/apps/components.eda.nokia.com/v1/interfacemodules,GET,com.nokia.eda.components.v1.InterfaceModuleList,,false,false,false
/apps/components.eda.nokia.com/v1/monitors,GET,com.nokia.eda.components.v1.MonitorList,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/chassis,GET,com.nokia.eda.components.v1.ChassisList,chassis_list,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/chassis/{name},GET,com.nokia.eda.components.v1.Chassis,chassis,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/chassis/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/chassis/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/components,GET,com.nokia.eda.components.v1.ComponentList,component_list,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/components/{name},GET,com.nokia.eda.components.v1.Component,component,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/components/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/components/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/controlmodules,GET,com.nokia.eda.components.v1.ControlModuleList,control_module_list,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/controlmodules/{name},GET,com.nokia.eda.components.v1.ControlModule,control_module,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/controlmodules/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/controlmodules/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/fabricmodules,GET,com.nokia.eda.components.v1.FabricModuleList,fabric_module_list,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/fabricmodules/{name},GET,com.nokia.eda.components.v1.FabricModule,fabric_module,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/fabricmodules/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/fabricmodules/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/fans,GET,com.nokia.eda.components.v1.FanList,fan_list,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/fans/{name},GET,com.nokia.eda.components.v1.Fan,fan,true,true,false
/apps/components.eda.nokia.com/v1/namespaces/{namespace}/fans/{name}/_revs,GET,ResourceHistory,,false,false,false
